Word,Rank,Frequency
to,1, 5132
the,2, 5126
and,3, 4542
of,4, 4258
a,5, 3057
i,6, 2657
her,7, 2377
was,8, 2371
it,9, 2267
she,10, 2249
in,11, 2134
not,12, 2093
be,13, 1952
you,14, 1757
he,15, 1716
that,16, 1711
had,17, 1614
as,18, 1418
have,19, 1302
for,20, 1289
is,21, 1212
with,22, 1203
but,23, 1173
very,24, 1148
his,25, 1132
mr,26, 1101
at,27, 1016
so,28, 910
could,29, 824
all,30, 817
would,31, 809
been,32, 753
emma,33, 724
him,34, 704
mrs,35, 677
on,35, 677
my,36, 670
any,37, 651
no,38, 620
were,39, 594
do,40, 576
miss,41, 575
must,42, 564
by,43, 562
will,44, 544
from,45, 540
which,46, 538
they,47, 511
me,48, 496
there,49, 494
this,50, 481
or,51, 476
what,52, 472
said,53, 471
much,54, 467
such,55, 462
an,56, 460
more,57, 454
are,58, 437
if,59, 436
every,60, 426
one,61, 419
than,62, 413
am,63, 409
them,64, 407
think,65, 377
weston,66, 373
harriet,67, 371
thing,68, 369
should,69, 366
little,70, 360
being,71, 357
when,72, 349
your,72, 349
never,73, 338
did,74, 328
only,75, 324
knightley,76, 322
might,76, 322
we,77, 319
know,78, 314
how,79, 312
"""i",80, 306
say,81, 305
their,82, 303
elton,83, 302
own,84, 295
good,85, 294
well,86, 287
who,87, 285
now,88, 278
quite,89, 271
can,90, 270
herself,91, 266
jane,92, 264
great,93, 262
time,94, 261
some,94, 261
woodhouse,95, 252
has,96, 246
most,97, 244
too,98, 240
about,98, 240
nothing,99, 236
before,100, 232
always,101, 231
thought,102, 218
may,102, 218
soon,103, 216
shall,104, 215
see,104, 215
without,105, 212
other,106, 209
dear,106, 209
first,107, 202
man,108, 201
made,109, 198
out,110, 195
sure,111, 192
again,112, 191
like,112, 191
young,113, 190
frank,113, 190
fairfax,114, 186
ever,115, 184
churchill,116, 183
up,117, 174
two,118, 169
though,119, 168
into,120, 163
better,121, 162
body,122, 160
just,122, 160
after,123, 157
give,124, 156
father,125, 154
friend,126, 153
come,126, 153
really,127, 150
make,128, 149
then,128, 149
hartfield,129, 147
having,130, 145
upon,131, 143
long,132, 140
rather,132, 140
indeed,132, 140
seemed,133, 139
way,133, 139
cannot,134, 138
day,134, 138
many,135, 137
hope,136, 135
himself,137, 133
done,138, 132
away,139, 131
even,140, 130
us,140, 130
while,141, 129
wish,141, 129
go,142, 124
here,143, 122
