,Month,taxi_type,Category,Score,MonthName
0,1,GreenTaxi,fare_amount,17263443.000000026,Jan
1,1,YellowTaxi,fare_amount,12785874.790000008,Jan
2,2,GreenTaxi,fare_amount,17748810.670000065,Feb
3,2,YellowTaxi,fare_amount,13582686.460000008,Feb
4,3,GreenTaxi,fare_amount,18906786.01000013,Mar
5,3,YellowTaxi,fare_amount,15028071.930000013,Mar
6,4,GreenTaxi,fare_amount,18866254.72000015,Apr
7,4,YellowTaxi,fare_amount,16332894.720000036,Apr
8,5,GreenTaxi,fare_amount,19214152.980000068,May
9,5,YellowTaxi,fare_amount,18184889.760000084,May
10,6,GreenTaxi,fare_amount,17569155.540000066,Jun
11,6,YellowTaxi,fare_amount,20230878.530000117,Jun
12,1,GreenTaxi,extra,502281.95,Jan
13,1,YellowTaxi,extra,212128.07999999996,Jan
14,2,GreenTaxi,extra,528484.3,Feb
15,2,YellowTaxi,extra,399446.73000000004,Feb
16,3,GreenTaxi,extra,569949.38,Mar
17,3,YellowTaxi,extra,430119.56999999995,Mar
18,4,GreenTaxi,extra,546230.86,Apr
19,4,YellowTaxi,extra,416984.0299999999,Apr
20,5,GreenTaxi,extra,530474.81,May
21,5,YellowTaxi,extra,513910.52,May
22,6,GreenTaxi,extra,491947.41,Jun
23,6,YellowTaxi,extra,546570.4299999999,Jun
24,1,GreenTaxi,mta_tax,702541.5,Jan
25,1,YellowTaxi,mta_tax,497037.39,Jan
26,2,GreenTaxi,mta_tax,735660.0,Feb
27,2,YellowTaxi,mta_tax,547666.3200000001,Feb
28,3,GreenTaxi,mta_tax,766690.58,Mar
29,3,YellowTaxi,mta_tax,597346.3,Mar
30,4,GreenTaxi,mta_tax,751407.7,Apr
31,4,YellowTaxi,mta_tax,646912.25,Apr
32,5,GreenTaxi,mta_tax,748079.5,May
33,5,YellowTaxi,mta_tax,696326.9999999998,May
34,6,GreenTaxi,mta_tax,683856.5,Jun
35,6,YellowTaxi,mta_tax,746018.7500000002,Jun
36,1,GreenTaxi,tip_amount,1804896.3600002893,Jan
37,1,YellowTaxi,tip_amount,1531397.9299998763,Jan
38,2,GreenTaxi,tip_amount,1851815.9300004663,Feb
39,2,YellowTaxi,tip_amount,2016092.7800004291,Feb
40,3,GreenTaxi,tip_amount,1944189.5300005334,Mar
41,3,YellowTaxi,tip_amount,2209237.4300004933,Mar
42,4,GreenTaxi,tip_amount,1987041.4300006735,Apr
43,4,YellowTaxi,tip_amount,2220183.0000005085,Apr
44,5,GreenTaxi,tip_amount,2032631.710000706,May
45,5,YellowTaxi,tip_amount,2553260.890000528,May
46,6,GreenTaxi,tip_amount,1836591.7500005078,Jun
47,6,YellowTaxi,tip_amount,2781102.1299999687,Jun
48,1,GreenTaxi,tolls_amount,144072.26999995793,Jan
49,1,YellowTaxi,tolls_amount,315953.8699999183,Jan
50,2,GreenTaxi,tolls_amount,153688.6099999692,Feb
51,2,YellowTaxi,tolls_amount,326518.19999989285,Feb
52,3,GreenTaxi,tolls_amount,167853.66999998793,Mar
53,3,YellowTaxi,tolls_amount,381231.4499997188,Mar
54,4,GreenTaxi,tolls_amount,176908.26999999897,Apr
55,4,YellowTaxi,tolls_amount,353648.1999998264,Apr
56,5,GreenTaxi,tolls_amount,186257.62000001056,May
57,5,YellowTaxi,tolls_amount,480534.999999384,May
58,6,GreenTaxi,tolls_amount,167301.9499999874,Jun
59,6,YellowTaxi,tolls_amount,483924.55999937985,Jun
60,1,GreenTaxi,improvement_surcharge,421516.59998962824,Jan
61,1,YellowTaxi,improvement_surcharge,299711.39999435353,Jan
62,2,GreenTaxi,improvement_surcharge,441409.7599888573,Feb
63,2,YellowTaxi,improvement_surcharge,329656.30999319156,Feb
64,3,GreenTaxi,improvement_surcharge,460168.199988127,Mar
65,3,YellowTaxi,improvement_surcharge,359649.29999202763,Mar
66,4,GreenTaxi,improvement_surcharge,451027.1999884817,Apr
67,4,YellowTaxi,improvement_surcharge,389637.59999086394,Apr
68,5,GreenTaxi,improvement_surcharge,448871.69998856535,May
69,5,YellowTaxi,improvement_surcharge,419588.5299897018,May
70,6,GreenTaxi,improvement_surcharge,410321.3999900613,Jun
71,6,YellowTaxi,improvement_surcharge,449500.089988541,Jun
72,1,GreenTaxi,total_amount,20838673.42037348,Jan
73,1,YellowTaxi,total_amount,15642099.460144214,Jan
74,2,GreenTaxi,total_amount,21459791.120404005,Feb
75,2,YellowTaxi,total_amount,17202034.480172392,Feb
76,3,GreenTaxi,total_amount,22815570.540445436,Mar
77,3,YellowTaxi,total_amount,19005604.800217073,Mar
78,4,GreenTaxi,total_amount,22778756.960426264,Apr
79,4,YellowTaxi,total_amount,20360254.100284316,Apr
80,5,GreenTaxi,total_amount,23160317.340429574,May
81,5,YellowTaxi,total_amount,22848482.840304077,May
82,6,GreenTaxi,total_amount,21194477.21037285,Jun
83,6,YellowTaxi,total_amount,25237977.510371316,Jun
