,Month,taxi_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
0,1,GreenTaxi,17263443.000000026,502281.95,702541.5,1804896.3600002893,144072.26999995793,421516.59998962824,20838673.42037348
1,1,YellowTaxi,12785874.790000008,212128.07999999996,497037.39,1531397.9299998763,315953.8699999183,299711.39999435353,15642099.460144214
2,2,GreenTaxi,17748810.670000065,528484.3,735660.0,1851815.9300004663,153688.6099999692,441409.7599888573,21459791.120404005
3,2,YellowTaxi,13582686.460000008,399446.73000000004,547666.3200000001,2016092.7800004291,326518.19999989285,329656.30999319156,17202034.480172392
4,3,GreenTaxi,18906786.01000013,569949.38,766690.58,1944189.5300005334,167853.66999998793,460168.199988127,22815570.540445436
5,3,YellowTaxi,15028071.930000013,430119.56999999995,597346.3,2209237.4300004933,381231.4499997188,359649.29999202763,19005604.800217073
6,4,GreenTaxi,18866254.72000015,546230.86,751407.7,1987041.4300006735,176908.26999999897,451027.1999884817,22778756.960426264
7,4,YellowTaxi,16332894.720000036,416984.0299999999,646912.25,2220183.0000005085,353648.1999998264,389637.59999086394,20360254.100284316
8,5,GreenTaxi,19214152.980000068,530474.81,748079.5,2032631.710000706,186257.62000001056,448871.69998856535,23160317.340429574
9,5,YellowTaxi,18184889.760000084,513910.52,696326.9999999998,2553260.890000528,480534.999999384,419588.5299897018,22848482.840304077
10,6,GreenTaxi,17569155.540000066,491947.41,683856.5,1836591.7500005078,167301.9499999874,410321.3999900613,21194477.21037285
11,6,YellowTaxi,20230878.530000117,546570.4299999999,746018.7500000002,2781102.1299999687,483924.55999937985,449500.089988541,25237977.510371316
