,Unnamed: 0,VendorID,pickup_date,pickup_time,drop_date,drop_time,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type ,pickup_time_hour,drop_time_hour,pickup_location
501,43045,2,1/1/16,14:33,1/1/16,14:57,N,1,-73.91618347,40.76108551,-73.97724152,40.67222214,2,10.89,32.5,0.0,0.5,6.66,0.0,,0.3,39.96,1,1.0,14,14,Queens
502,33255,2,1/1/16,6:06,1/1/16,6:21,N,1,-73.94902039,40.82857132,-73.98371887,40.75953674,1,6.15,20.0,0.0,0.5,0.0,0.0,,0.3,20.8,2,1.0,6,6,Manhattan
503,60439,2,1/1/16,22:22,1/1/16,22:32,N,1,-73.97924805,40.6934433,-73.94763184,40.68656158,1,2.43,10.5,0.5,0.5,0.0,0.0,,0.3,11.8,2,1.0,22,22,Brooklyn
504,13067,1,1/1/16,1:08,1/1/16,1:19,N,1,-73.91212463,40.77497482,-73.92276001,40.76657867,1,0.9,8.0,0.5,0.5,0.0,0.0,,0.3,9.3,2,1.0,1,1,Queens
505,50963,2,1/1/16,18:33,1/1/16,18:41,N,1,-73.91640472,40.75771713,-73.91529083,40.74110031,1,1.86,8.5,0.0,0.5,0.0,0.0,,0.3,9.3,2,1.0,18,18,Queens
506,28221,2,1/1/16,4:40,1/1/16,4:58,N,1,-73.9067688,40.77344513,-73.90054321,40.70851517,1,5.9,19.5,0.5,0.5,0.0,0.0,,0.3,20.8,2,1.0,4,4,Queens
507,45328,1,1/1/16,15:54,1/1/16,15:57,N,1,-73.94517517,40.80867386,-73.94257355,40.81661224,2,0.7,5.0,0.0,0.5,1.45,0.0,,0.3,7.25,1,1.0,15,15,Manhattan
508,14362,2,1/1/16,2:05,1/1/16,2:26,N,1,-73.96463013,40.68458939,-74.00964355,40.64948654,1,5.14,18.5,0.5,0.5,0.0,0.0,,0.3,19.8,2,1.0,2,2,Brooklyn
509,36164,1,1/1/16,7:03,1/1/16,7:08,N,1,-73.87338257,40.75686646,-73.87969971,40.74663162,1,1.0,6.0,0.0,0.5,0.0,0.0,,0.3,6.8,2,1.0,7,7,Queens
510,40569,1,1/1/16,12:56,1/1/16,13:12,N,1,-73.89894867,40.7461319,-73.83032990000002,40.75946808,1,3.8,14.5,0.0,0.5,0.0,0.0,,0.3,15.3,2,1.0,12,13,Queens
