STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,CLDATE,PRCP,Measurement Flag,Source Flag,Time of Observation,SNWD,Measurement Flag,Source Flag,Time of Observation,SNOW,Measurement Flag,Source Flag,Time of Observation
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160101,1/1/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160102,1/2/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160103,1/3/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160104,1/4/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160105,1/5/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160106,1/6/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160107,1/7/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160108,1/8/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160109,1/9/16,0,T,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160110,1/10/16,1.8, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160111,1/11/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160112,1/12/16,0, ,W,2400,0, ,W,9999,0,T,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160113,1/13/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160114,1/14/16,0, ,W,2400,0, ,W,9999,0,T,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160115,1/15/16,0,T,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160116,1/16/16,0.24, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160117,1/17/16,0.05, ,W,2400,0, ,W,9999,0.4, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160118,1/18/16,0,T,W,2400,0,T,W,9999,0,T,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160119,1/19/16,0, ,W,2400,0,T,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160120,1/20/16,0, ,W,2400,0,T,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160121,1/21/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160122,1/22/16,0.01, ,W,2400,0, ,W,9999,0.2, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160123,1/23/16,2.31, ,W,2400,5.9, ,W,9999,27.3, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160124,1/24/16,0,T,W,2400,22, ,W,9999,0,T,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160125,1/25/16,0, ,W,2400,18.9, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160126,1/26/16,0, ,W,2400,16.9, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160127,1/27/16,0,T,W,2400,9.1, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160128,1/28/16,0, ,W,2400,5.9, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160129,1/29/16,0, ,W,2400,5.9, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160130,1/30/16,0, ,W,2400,5.9, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160131,1/31/16,0, ,W,2400,3.9, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160201,2/1/16,0.01, ,W,2400,2, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160202,2/2/16,0, ,W,2400,0,T,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160203,2/3/16,0.73, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160204,2/4/16,0,T,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160205,2/5/16,0.53, ,W,2400,1.2, ,W,9999,2.5, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160206,2/6/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160207,2/7/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160208,2/8/16,0.05, ,W,2400,0, ,W,9999,0.1, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160209,2/9/16,0, ,W,2400,0,T,W,9999,0,T,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160210,2/10/16,0.01, ,W,2400,0, ,W,9999,0,T,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160211,2/11/16,0,T,W,2400,0, ,W,9999,0,T,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160212,2/12/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160213,2/13/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160214,2/14/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160215,2/15/16,0.44, ,W,2400,0, ,W,9999,1.4, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160216,2/16/16,1.01, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160217,2/17/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160218,2/18/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160219,2/19/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
NY CITY CENTRAL PARK NY US,39.6,40.77889,-73.96917,20160220,2/20/16,0, ,W,2400,0, ,W,9999,0, ,W,9999
