Rank,Publisher Name,No of Publications
1,Simon  Schuster, 22
2,Random House, 17
3,Houghton Mifflin Harcourt, 16
3,Little Brown, 16
4,"""St Martins""", 13
4,Spiegel  Grau, 13
4,HarperCollins, 13
5,Grand Central, 12
6,Scholastic, 11
6,Norton, 11
6,Penguin, 11
6,Ballantine, 11
7,Farrar Straus  Giroux, 10
7,Knopf, 10
8,Penguin Group, 9
8,Harper, 9
8,MorrowHarperCollins, 9
8,Holt, 9
9,VIZ Media, 8
10,W PublishingThomas Nelson, 7
10,Scribner, 7
10,Vintage, 7
10,DisneyHyperion, 7
11,Doubleday, 6
11,Flatiron, 6
11,Crown, 6
11,Workman, 6
11,Chronicle, 6
12,Crown Business, 5
12,Dial, 5
12,Abrams, 5
12,Rodale, 5
12,Dutton, 5
12,HarperHarperCollins, 5
12,Atria, 5
12,Anchor, 5
13,Delacorte, 4
13,Zondervan, 4
13,Avery, 4
13,Thomas Nelson, 4
13,Viking, 4
13,DK, 4
13,Disney Publishing Worldwide, 4
13,Berkley, 4
13,Morrow, 4
13,Penguin Press, 4
13,HarperCollins Publishers, 4
13,Washington Square, 4
14,Sourcebooks Fire, 3
14,Putnam, 3
14,Hay House, 3
14,Forge, 3
14,Wiley, 3
14,HarperTeen, 3
14,Humanix, 3
14,Ghost Mountain, 3
14,New Press, 3
14,Clarkson Potter, 3
14,Candlewick, 3
14,Top Shelf Productions, 3
14,Waterbrook, 3
14,Broadway, 3
14,Grand Central Life  Style, 3
14,Riverhead, 3
14,Northfield, 3
15,Quirk Books, 2
15,Katherine Tegen, 2
15,Laurence King, 2
15,Random House Publishing, 2
15,Avon, 2
15,Puffin, 2
15,HarperOneHarperCollins, 2
15,Howard, 2
15,Harper Perennial, 2
15,Akashic, 2
15,NAL, 2
15,Ten Speed, 2
15,Jimmy PattersonLittle Brown, 2
15,Gallery Books, 2
15,Touchstone, 2
15,Katherine TegenHarperCollins, 2
15,National Geographic Society, 2
15,Windblown Media, 2
15,Algonquin, 2
15,Wizards of the Coast, 2
15,Disney Press, 2
15,Nation, 2
15,Dell, 2
15,Dark Horse, 2
15,Knopf Doubleday Publishing, 2
15,Crown Archetype, 2
15,Atheneum, 2
15,Razorbill, 2
15,Twelve, 2
15,Andrews McMeel, 2
15,McGrawHill, 2
15,Del Rey, 2
16,"""Thomas DunneSt Martins""", 1
16,Frontline, 1
16,DC Comics, 1
16,Balzer  BrayHarperCollins, 1
16,HarperDesign, 1
16,Margaret K McElderry, 1
16,Grand CentralMelcher Media, 1
16,Forge Books, 1
16,Potter Style, 1
16,Harmony, 1
16,HQN, 1
16,Grosset  Dunlap, 1
16,HarperOne, 1
16,Dey StreetMorrow, 1
16,Jove, 1
16,Philomel, 1
16,Countryman Press, 1
16,Atria  37 INK, 1
16,Hyperion, 1
16,CrownArchetype, 1
16,New HarbingerNoetic, 1
16,AmberAllen, 1
16,Stoker Aces Production, 1
16,Bantam, 1
16,HarperBusiness, 1
16,Speak, 1
16,Yearling, 1
16,Artisan, 1
16,Pocket Books, 1
16,Picador, 1
16,Amulet, 1
16,Thomas DunneSt Martin’s, 1
16,Price Stern SloanPenguin, 1
16,IDW Publishing, 1
16,Zebra, 1
16,Aladdin, 1
16,MIRA, 1
16,Dover, 1
16,Kodansha Comics, 1
16,MTV BooksGallery Books, 1
16,Howard Books, 1
16,Hachette, 1
16,Aperture, 1
16,Margaret McHeyzer, 1
16,Pantheon, 1
16,Faith Words, 1
16,Bard Press, 1
16,Liveright, 1
16,Harper PerennialHarperCollins, 1
16,Back BayLittle Brown, 1
16,QuirkPenguin, 1
16,Tor Teen, 1
16,Drawn  Quarterly, 1
16,"""St Martins Press""", 1
16,Business Plus, 1
16,Blue Rider, 1
16,TorTom Doherty, 1
16,University of California, 1
16,DisneyLucasfilm, 1
16,Open Road, 1
16,WaterBrook, 1
16,"""St Martins Griffin""", 1
16,Library of America, 1
16,Seven Seas Entertainment, 1
16,Abrams Books, 1
16,Adult Coloring Book DesignsTwiggler, 1
16,Back BayLittle Brown, 1
16,Mira, 1
16,DK Publishing, 1
16,Sentinel, 1
16,Blue Rider Press, 1
16,Reagan Arthur Books, 1
16,Grove, 1
16,Gotham, 1
16,Chartwell Books, 1
16,GroveAtlantic, 1
16,Vision, 1
16,Gallup, 1
16,Other Press, 1
16,Feiwel  Friends, 1
16,Bird Street, 1
16,Gallery, 1
16,Running Press, 1
16,Greystone, 1
16,Minotaur, 1
16,Lauren Blakely, 1
16,MetropolitanHolt, 1
16,Henry Holt  Company, 1
16,HyperionDisney, 1
16,Harlequin, 1
16,Little Brown  Company, 1
16,The Experiment, 1
16,New World Library, 1
16,American Girl Publishing, 1
16,Victory Belt, 1
16,Haymarket, 1
16,FaithWords, 1
16,Crown Forum, 1
16,MarinerHoughton Mifflin Harcourt, 1
16,Balzer  Bray, 1
16,New American LibraryBerkley, 1
16,EccoHarperCollins, 1
16,New American Library, 1
16,Hazelden, 1
