Name,January,February,March,April,May,June,July,August,September,October,November,December
"Novak,Djokovic",61,17,24,9,35,31,30,17,32,14,25,5
"Michael,Phelps",8,0,9,6,4,43,36,148,9,4,1,12
"Andy,Murray",36,7,17,7,36,37,39,20,24,24,39,14
"Pete,Sampras",7,3,4,0,13,9,17,7,7,0,3,2
"Donald,Trump",5,5,5,2,1,7,5,4,8,6,14,228
"Jordan,Michael",39,20,24,31,20,24,29,12,8,15,22,56
"Rafael,Nadal",26,26,25,35,57,25,8,33,18,13,9,5
"Roger,Federer",124,0,0,0,1,0,2,0,0,0,0,3
"Stan,Wawrinka",50,18,20,7,39,31,21,16,61,15,17,5
"Maria,Sharapova",294,0,0,0,1,0,2,0,0,0,0,3
"Serena,Williams",64,4,30,5,31,42,41,35,32,7,2,7
