Category,No of Books,Top Ranked Books,Least Ranked Books
Humor,10,"TALKING AS FAST AS I CAN,BORN A CRIME,THE DAILY SHOW (THE BOOK)","GO THE -- TO SLEEP,WHY NOT ME?,KATHY GRIFFIN'S CELEBRITY RUN-INS"
Childrens Middle Grade Paperback,10,"HIDDEN FIGURES,A LONG WALK TO WATER,THE ONE AND ONLY IVAN","THE WAR THAT SAVED MY LIFE,BROWN GIRL DREAMING,OUT OF MY MIND"
Young Adult E-Book,5,"BURNING GLASS,FLAMECASTER,MISTRUST","MISTRUST,AND I DARKEN,WINDWITCH"
Religion Spirituality and Faith,10,"SHAKEN,THE BOOK OF JOY,THINK BETTER, LIVE BETTER","PRESENT OVER PERFECT,THE POWER OF NOW,THE AMERICAN MIRACLE"
Chapter Books,10,"LEGO NINJAGO CHARACTER ENCYCLOPEDIA,LINCOLN'S LAST DAYS,THE FAULT IN OUR STARS","INSURGENT,THE LEGO BOOK,LEGO STAR WARS CHARACTER ENCYCLOPEDIA"
Hardcover Business Books,15,"LEAN IN,DUCK COMMANDERS,BEFORE HAPPINESS","WINNING FROM WITHIN,LEAN STARTUP,4-HOUR WORKWEEK"
Business Books,10,"THE MAGNOLIA STORY,TOOLS OF TITANS,THE UNDOING PROJECT","ORIGINALS,GRIT,MAKE YOUR KID A MONEY GENIUS (EVEN IF YOU'RE NOT)"
Travel,10,"ATLAS OBSCURA,HUMANS OF NEW YORK: STORIES,THE ROAD TO LITTLE DRIBBLING","WILD,LION,NONSTOP METROPOLIS"
Sports,10,"SHOE DOG,THE BOYS IN THE BOAT,SHAKEN","BELICHICK AND BRADY,WHAT DOESN’T KILL US,STRING THEORY"
Relationships,10,"THE UNDOING PROJECT,THE FIVE LOVE LANGUAGES,UNINVITED","BAD FEMINIST,TRIBE,MEN EXPLAIN THINGS TO ME"
Combined Print Fiction,20,"THE HIT,WHISKEY BEACH,FLY AWAY","CALICO JOE,THE FORGOTTEN,THE INTERESTINGS"
Young Adult Hardcover,10,"EVERYTHING, EVERYTHING,CARVE THE MARK,CARAVAL","FROSTBLOOD,THIS IS WHERE IT ENDS,LADY MIDNIGHT"
Young Adult,15,"PAPER TOWNS,LOOKING FOR ALASKA,ME AND EARL AND THE DYING GIRL","WILL GRAYSON, WILL GRAYSON,IF I STAY,RED QUEEN"
Animals,10,"I COULD PEE ON THIS,LET ME TELL YOU ABOUT JASPER ...,H IS FOR HAWK","RESCUE ME,A STREET CAT NAMED BOB,REALLY IMPORTANT STUFF MY DOG HAS TAUGHT ME"
Childrens Middle Grade,15,"THE ISLE OF THE LOST,WONDER,MAL'S SPELL BOOK","THE ONE AND ONLY IVAN,OUT OF MY MIND,GOODBYE STRANGER"
Science,10,"HIDDEN FIGURES,WHEN BREATH BECOMES AIR,THE LOST CITY OF THE MONKEY GOD","THE HIDDEN LIFE OF TREES,THE POWER OF HABIT,QUIET"
Hardcover Fiction,15,"LINCOLN IN THE BARDO,NORSE MYTHOLOGY,AFTERMATH: EMPIRE'S END","TWO BY TWO,A GENTLEMAN IN MOSCOW,SMALL GREAT THINGS"
Paperback Nonfiction,10,"HIDDEN FIGURES,THE ZOOKEEPER'S WIFE,ALEXANDER HAMILTON","DARK MONEY,WHY I MARCH,THE NEW JIM CROW"
Mass Market Paperback,15,"SWEET TOMORROWS,THE MURDER HOUSE,APPRENTICE IN DEATH","CLAWBACK,TROUBLEMAKER,TRICKY TWENTY-TWO"
Paperback Business Books,10,"OUTLIERS,THINKING, FAST AND SLOW,STEVE JOBS","FREAKONOMICS,THE CHECKLIST MANIFESTO,WHY NATIONS FAIL"
Race and Civil Rights,10,"BORN A CRIME,HIDDEN FIGURES,BETWEEN THE WORLD AND ME","MISADVENTURES OF AWKWARD BLACK GIRL,YOU CAN'T TOUCH MY HAIR,STAMPED FROM THE BEGINNING"
Combined Print and E-Book Fiction,15,"THE SHACK,DEVIL IN SPRING,BIG LITTLE LIES","THE ORPHAN'S TALE,BULLSEYE,RIGHT BEHIND YOU"
Hardcover Nonfiction,15,"HILLBILLY ELEGY,KILLING THE RISING SUN,HOMO DEUS","THANK YOU FOR BEING LATE,TEARS WE CANNOT STOP,THE UNDOING PROJECT"
Hardcover Advice,15,"IT'S ALL GOOD,THE FASTDIET,DARING GREATLY","THE LEGEND OF ZELDA, HYRULE HISTORIA,WHEAT BELLY COOKBOOK,THE DRUNKEN BOTANIST"
Espionage,10,"ROGUE HEROES,THE SECRET HISTORY OF WORLD WAR II,GEORGE WASHINGTON'S SECRET SIX","THE BILLION DOLLAR SPY,AVENUE OF SPIES,THE SPY WHO COULDN'T SPELL"
Indigenous Americans,5,"THE HEART OF EVERYTHING THAT IS,EMPIRE OF THE SUMMER MOON,BURY MY HEART AT WOUNDED KNEE","BURY MY HEART AT WOUNDED KNEE,CRAZY HORSE AND CUSTER,HISTORY OF THE INDIAN TRIBES OF NORTH AMERICA"
Paperback Books,10,"THE PERKS OF BEING A WALLFLOWER,ONE DIRECTION: DARE TO DREAM,DIVERGENT","THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN,WILDWOOD,OUT OF MY MIND"
Family,10,"GO THE -- TO SLEEP,WHAT TO EXPECT WHEN YOU'RE EXPECTING,LOVE WARRIOR","H IS FOR HAWK,MOTHER, CAN YOU NOT?,GIRLS AND SEX"
